capture_week,week_start,pct_institutions_off_baseline,far_frozen_forecaster,far_rolling_forecaster,is_drift_week
0,2023-10-09,0.0036496350364963502,0.008342022940563087,0.0,False
1,2023-10-16,0.0036496350364963502,0.010427528675703858,0.010948905109489052,False
2,2023-10-23,0.0,0.02502606882168926,0.008863399374348279,False
3,2023-10-30,0.0,0.005213764337851929,0.014077163712200209,False
4,2023-11-06,0.0,0.0072992700729927005,0.006777893639207508,False
5,2023-11-13,0.0,0.015119916579770595,0.014077163712200209,False
6,2023-11-20,0.0,0.005213764337851929,0.02346193952033368,False
7,2023-11-27,0.0,0.010427528675703858,0.0020855057351407717,False
8,2023-12-04,0.0,0.006256517205422315,0.005213764337851929,False
9,2023-12-11,0.0,0.004171011470281543,0.0015641293013555788,False
10,2023-12-18,0.0,0.01251303441084463,0.013034410844629822,False
11,2023-12-25,0.0364963503649635,0.2778936392075078,0.19655891553701774,True
12,2024-01-01,0.021897810218978103,0.19551616266944735,0.05057351407716371,True
13,2024-01-08,0.01824817518248175,0.05474452554744526,0.0443169968717414,False
14,2024-01-15,0.051094890510948905,0.14963503649635038,0.04953076120959333,True
15,2024-01-22,0.029197080291970802,0.04535974973931178,0.08915537017726799,True
16,2024-01-29,0.1678832116788321,0.0954118873826903,0.027111574556830033,True
17,2024-02-05,0.18613138686131386,0.07612095933263817,0.03597497393117831,False
18,2024-02-12,0.17883211678832117,0.12930135557872785,0.0443169968717414,True
19,2024-02-19,0.17883211678832117,0.10218978102189781,0.05683003128258603,False
20,2024-02-26,0.1678832116788321,0.09176225234619395,0.03753910323253389,False
21,2024-03-04,0.10948905109489052,0.07820646506777894,0.023983315954118872,False
22,2024-03-11,0.12043795620437957,0.06412930135557873,0.03232533889468196,False
23,2024-03-18,0.11313868613138686,0.0881126173096976,0.047966631908237745,False
24,2024-03-25,0.11678832116788321,0.15119916579770595,0.04692387904066736,False
25,2024-04-01,0.15328467153284672,0.15954118873826903,0.09593326381647549,False
26,2024-04-08,0.11678832116788321,0.09228362877997914,0.035453597497393116,False
27,2024-04-15,0.13503649635036497,0.0740354535974974,0.014598540145985401,False
28,2024-04-22,0.16423357664233576,0.0735140771637122,0.014077163712200209,False
29,2024-04-29,0.21532846715328466,0.16996871741397288,0.0808133472367049,False
30,2024-05-06,0.17883211678832117,0.11157455683003129,0.029197080291970802,True
31,2024-05-13,0.19343065693430658,0.09019812304483837,0.03962460896767466,True
32,2024-05-20,0.7226277372262774,0.48852971845672577,0.4416058394160584,True
33,2024-05-27,0.7299270072992701,0.618873826903024,0.15901981230448384,True
34,2024-06-03,0.4343065693430657,0.26173096976016685,0.28936392075078204,False
35,2024-06-10,0.2518248175182482,0.14389989572471323,0.10740354535974973,False
36,2024-06-17,0.27007299270072993,0.2122002085505735,0.02867570385818561,False
37,2024-06-24,0.23357664233576642,0.15954118873826903,0.09436913451511991,False
38,2024-07-01,0.31386861313868614,0.32638164754953075,0.058915537017726796,False
39,2024-07-08,0.2773722627737226,0.28832116788321166,0.04118873826903024,False
