lambda_cover,attack_kept,roc_auc
0.0,1.0,0.7622473412017146
0.2,0.8,0.6768040602040901
0.4,0.6,0.6442091048894586
0.6,0.4,0.6451544964405441
0.8,0.19999999999999996,0.619571397559054
