capture_week,week_start,false_alarm_rate,is_drift_week
0,2023-10-09,0.014077163712200209,False
1,2023-10-16,0.024504692387904068,False
2,2023-10-23,0.006256517205422315,False
3,2023-10-30,0.005735140771637122,False
4,2023-11-06,0.0046923879040667365,False
5,2023-11-13,0.0015641293013555788,False
6,2023-11-20,0.020855057351407715,False
7,2023-11-27,0.0046923879040667365,False
8,2023-12-04,0.0020855057351407717,False
9,2023-12-11,0.005213764337851929,False
10,2023-12-18,0.020333680917622523,False
11,2023-12-25,0.04535974973931178,True
12,2024-01-01,0.053701772679874867,True
13,2024-01-08,0.02346193952033368,False
14,2024-01-15,0.1710114702815433,True
15,2024-01-22,0.020855057351407715,True
16,2024-01-29,0.17413972888425444,True
17,2024-02-05,0.13764337851929093,False
18,2024-02-12,0.15745568300312826,True
19,2024-02-19,0.12982273201251304,False
20,2024-02-26,0.13712200208550573,False
21,2024-03-04,0.10583941605839416,False
22,2024-03-11,0.09593326381647549,False
23,2024-03-18,0.13034410844629823,False
24,2024-03-25,0.1454640250260688,False
25,2024-04-01,0.1480709071949948,False
26,2024-04-08,0.09280500521376434,False
27,2024-04-15,0.10010427528675704,False
28,2024-04-22,0.12825860271115747,False
29,2024-04-29,0.1845672575599583,False
30,2024-05-06,0.14129301355578727,True
31,2024-05-13,0.16058394160583941,True
32,2024-05-20,0.4765380604796663,True
33,2024-05-27,0.5474452554744526,True
34,2024-06-03,0.25651720542231493,False
35,2024-06-10,0.16058394160583941,False
36,2024-06-17,0.19238790406673617,False
37,2024-06-24,0.17883211678832117,False
38,2024-07-01,0.2340980187695516,False
39,2024-07-08,0.20698644421272158,False
