setting,signal,roc_auc,roc_ci_lo,roc_ci_hi,pr_auc,base_rate
magnitude_matched,magnitude,0.5796988414293691,0.5234763014977998,0.6509065703769142,0.43320275532490826,0.2867383512544803
magnitude_matched,shape,0.7230021635957565,0.6721466940354317,0.7692026957327617,0.5640679253886286,0.2867383512544803
all_windows,shape_minus_magnitude,0.07867411243207911,-0.02137703867940595,0.159012600403468,,0.05556198634101169
