signal_set,pr_auc,pr_auc_sd,roc_auc,base_rate
magnitude_only,0.2796256290695308,0.03905450027059981,0.6862867048287984,0.05556198634101169
shape_only,0.32725659992675704,0.08129570756000992,0.7525462815344734,0.05556198634101169
all_signals,0.3282632093157356,0.07255487787413345,0.7394583917610378,0.05556198634101169
