signal_set,pr_auc,roc_auc
magnitude,0.297344823071648,0.6867062924337105
shape,0.38808004184755857,0.7622473412017146
gradient,0.370649392187637,0.7513100754410351
shape+gradient,0.4034378769389594,0.7662394918998565
all,0.4232190820076294,0.7762754383061918
