capture_week,week_start,js_n_flows,js_n_packets
0,2023-10-09,0.0,0.0
1,2023-10-16,0.07474519273131901,0.06942582151032536
2,2023-10-23,0.039335210170197865,0.05201018733978724
3,2023-10-30,0.05930355336019019,0.06342402230617554
4,2023-11-06,0.061598785031358114,0.05946599869283701
5,2023-11-13,0.08021527615910443,0.052294439858704286
6,2023-11-20,0.08127883091432656,0.05320347461517978
7,2023-11-27,0.08137294583894328,0.05151315422893246
8,2023-12-04,0.11760188473192151,0.05207970657643536
9,2023-12-11,0.12257815220517207,0.04532423941928182
10,2023-12-18,0.11069594337963817,0.06524641971968076
11,2023-12-25,0.09926881667383951,0.08193356934834489
12,2024-01-01,0.1148161625086288,0.09378967315677228
13,2024-01-08,0.09576158812424435,0.060535283083585155
14,2024-01-15,0.13093512828272963,0.09640701688890743
15,2024-01-22,0.10762052687810425,0.08677409254000085
16,2024-01-29,0.10116963378346139,0.07549805513392219
17,2024-02-05,0.08758786778799987,0.0672416248399123
18,2024-02-12,0.11133249843813624,0.060254052792042524
19,2024-02-19,0.08150257574675848,0.06836730429716302
20,2024-02-26,0.09289901607905002,0.08949351779458664
21,2024-03-04,0.08311362188449024,0.07540244250550887
22,2024-03-11,0.09027670985861293,0.07778477165321548
23,2024-03-18,0.0754219230409938,0.07751665555310969
24,2024-03-25,0.0709363511633295,0.06686496349261535
25,2024-04-01,0.07884180181774342,0.07743145260287568
26,2024-04-08,0.07144101314671833,0.0737440010335815
27,2024-04-15,0.07781949728698662,0.08283768919670303
28,2024-04-22,0.07075385931224165,0.060142929759138694
29,2024-04-29,0.06386314278435198,0.06138261858916952
30,2024-05-06,0.13111961538710398,0.06429062008202498
31,2024-05-13,0.11166972243513942,0.0623867056243272
32,2024-05-20,0.1225236302038098,0.107927142945439
33,2024-05-27,0.19779548895643978,0.18594112281855768
34,2024-06-03,0.06968728799669875,0.09829834084141625
35,2024-06-10,0.05011260161044153,0.06820301326528355
36,2024-06-17,0.057361434472658256,0.06448133743871183
37,2024-06-24,0.05895017297958709,0.05974934821388002
38,2024-07-01,0.07750107122847878,0.0757480378918416
39,2024-07-08,0.07703652030504583,0.04397497948137182
