family,attack_windows,pr_auc,roc_auc,roc_auc_min,roc_auc_max
DoS,227,0.3367600602524884,0.8186558750906378,0.813426902279813,0.8238044816735439
port scan (11),69,0.7722461300237269,0.9685569962932943,0.9508546624581424,0.9739394735962488
port scan (44),70,0.9963131313131314,0.9999514798641436,0.999941249908203,0.999972274208082
botnet (neris),168,0.10853436279962587,0.6218309821551389,0.5635618927979327,0.6546294935403024
