capture_week,week_start,js_n_flows,js_null_p99,p_js,mean_log10_change,pct_institutions_up,p_level,js_significant_fdr,level_significant_fdr
1,2023-10-16,0.07474519273131901,0.0776012219810681,0.025974025974025976,-0.057628237474654995,10.0,4.999750012499375e-05,False,True
2,2023-10-23,0.039335210170197865,0.05858155101269205,0.5574425574425574,-0.010285397799860272,42.0,0.1223938803059847,False,False
3,2023-10-30,0.05930355336019019,0.06192993376085032,0.023976023976023976,0.031509364661365453,72.0,9.99950002499875e-05,False,True
4,2023-11-06,0.061598785031358114,0.08452457603115857,0.27972027972027974,0.044473404302841704,76.0,4.999750012499375e-05,False,True
5,2023-11-13,0.08021527615910443,0.09632810198109139,0.12687312687312688,0.04310221518727229,76.0,4.999750012499375e-05,False,True
6,2023-11-20,0.08127883091432656,0.10576609025050766,0.23076923076923078,0.05123104226704875,74.0,4.999750012499375e-05,False,True
7,2023-11-27,0.08137294583894328,0.09124171332666613,0.09090909090909091,0.05251444559115338,74.0,4.999750012499375e-05,False,True
8,2023-12-04,0.11760188473192151,0.10466767338265302,0.001998001998001998,0.06028080320507707,72.0,4.999750012499375e-05,False,True
9,2023-12-11,0.12257815220517207,0.12783739205762398,0.023976023976023976,0.0789674376091427,78.0,4.999750012499375e-05,False,True
10,2023-12-18,0.11069594337963817,0.1238172930456875,0.0989010989010989,0.057724386891304824,62.0,0.002049897505124744,False,True
11,2023-12-25,0.09926881667383951,0.14338338150532784,0.47952047952047955,-0.08752702343276669,24.0,0.000199990000499975,False,True
12,2024-01-01,0.1148161625086288,0.12430661516692816,0.030969030969030968,-0.10979919524472216,12.0,4.999750012499375e-05,False,True
13,2024-01-08,0.09576158812424435,0.10067047193013048,0.028971028971028972,-0.04660191470951137,24.0,0.0002999850007499625,False,True
14,2024-01-15,0.13093512828272963,0.14691206493197256,0.06693306693306693,-0.07733459378569699,14.000000000000002,0.0018499075046247689,False,True
15,2024-01-22,0.10762052687810425,0.1258005030570051,0.2007992007992008,-0.010112208036807529,28.000000000000004,0.8553572321383931,False,False
16,2024-01-29,0.10116963378346139,0.11768395117654544,0.11188811188811189,-0.06015295804996561,14.000000000000002,0.0010999450027498626,False,True
17,2024-02-05,0.08758786778799987,0.10621604051637012,0.14485514485514486,-0.05011266611008459,24.0,4.999750012499375e-05,False,True
18,2024-02-12,0.11133249843813624,0.121236847737536,0.04695304695304695,-0.07304192200218985,16.0,4.999750012499375e-05,False,True
19,2024-02-19,0.08150257574675848,0.10119787485882392,0.27372627372627373,-0.03799956164248724,30.0,0.015699215039248038,False,True
20,2024-02-26,0.09289901607905002,0.1048999321562844,0.09090909090909091,-0.0652146710159761,16.0,4.999750012499375e-05,False,True
21,2024-03-04,0.08311362188449024,0.09821695930283558,0.12687312687312688,-0.0494743077951349,20.0,9.99950002499875e-05,False,True
22,2024-03-11,0.09027670985861294,0.08386791491526507,0.004995004995004995,0.00311369146013325,48.0,0.7832608369581521,False,False
23,2024-03-18,0.0754219230409938,0.08585117594907722,0.1008991008991009,-0.03702574855058341,26.0,0.0005499725013749313,False,True
24,2024-03-25,0.0709363511633295,0.07826218554981111,0.05194805194805195,-0.07237870055712008,14.000000000000002,4.999750012499375e-05,False,True
25,2024-04-01,0.07884180181774342,0.08682922196986337,0.04795204795204795,-0.048636882517810856,20.0,0.00034998250087495624,False,True
26,2024-04-08,0.07144101314671833,0.08344070732166387,0.1088911088911089,-0.02216019609344257,28.000000000000004,0.20123993800309983,False,False
27,2024-04-15,0.07781949728698662,0.09432046680819951,0.15584415584415584,0.04986562266660947,74.0,0.000999950002499875,False,True
28,2024-04-22,0.07075385931224165,0.08565973055968536,0.15084915084915085,0.06451564350718654,88.0,4.999750012499375e-05,False,True
29,2024-04-29,0.06386314278435198,0.09219220547018203,0.47052947052947053,0.06184637743549522,72.0,0.002049897505124744,False,True
30,2024-05-06,0.13111961538710398,0.14911285568496235,0.08691308691308691,0.09316170792832663,86.0,4.999750012499375e-05,False,True
31,2024-05-13,0.11166972243513942,0.1612892317104237,0.4745254745254745,0.14066853381274994,96.0,4.999750012499375e-05,False,True
32,2024-05-20,0.12252363020380982,0.13086752157559933,0.04595404595404595,-0.2316854532645428,4.0,4.999750012499375e-05,False,True
33,2024-05-27,0.19779548895643978,0.213914670670255,0.028971028971028972,-0.31630700076581275,2.0,4.999750012499375e-05,False,True
34,2024-06-03,0.06968728799669875,0.09220004702912538,0.4015984015984016,-0.09156657069552447,14.000000000000002,4.999750012499375e-05,False,True
35,2024-06-10,0.05011260161044153,0.06275126583933381,0.16683316683316685,0.008959273883215078,50.0,0.2809359532023399,False,False
36,2024-06-17,0.057361434472658256,0.0575115585807046,0.012987012987012988,-0.03415598864641505,26.0,4.999750012499375e-05,False,True
37,2024-06-24,0.05895017297958709,0.07077327948683602,0.11688311688311688,0.04011246709616109,78.0,4.999750012499375e-05,False,True
38,2024-07-01,0.07750107122847878,0.07265756643701712,0.002997002997002997,-0.04685754091048727,20.0,4.999750012499375e-05,False,True
39,2024-07-08,0.07703652030504583,0.08295571480835845,0.027972027972027972,0.007420991854301579,62.0,0.5073746312684366,False,False
